,Code,Website,Address,Phone,Directors
0,TTA,https://www.teac.com.au,7 Dalton Road,61 3 9280 2333,"['Mr. Ahamad  Bin Abdullah', 'Mr. Jozsef  Fekete']"
1,MSI,https://www.multistack.com.au,17 Friars Road,61 3 8586 8200,"['Mr. Kwok Yin Leung', 'Ms. Yan Y. Wong', 'Mr. Siu Wai Yan', 'Ms. Yim Ni Chan', 'Mr. C. L. Fan']"
2,OAK,https://xped.com,89 Pirie St,,"['Mr. Con  Unerkov', 'Mr. John  Schultz', 'Mr. Christopher  Wood', 'Ms. Julie  Edwards', 'Mr. Michael Raymond Clarke']"
3,ROO,https://rootssat.com,Hamezach 1 Street,972 9 768 9995,"['Mr. Boaz  Wachtel M.A., M.D., MBA', 'Dr. Sharon  Devir Ph.D.', 'Mr. Moshe  Hukaylo', 'Mr. Asaf ben Porat', 'Ms. Salma  Masrawa', 'Mr. Gili  Atiya', 'Mr. Leonard Vun Chee Math B.Bus., B.Com., BComm, C.A.', 'Mr. Dave  Sharma']"
4,QUE,https://www.queste.com.au,680 Murray Street,61 8 9214 9777,"['Mr. Farooq  Khan BJuris, L.L.B., LLB', 'Mr. Poh Hong Ho B.Com, B.Com., CTA, L.L.B., LLB']"
5,T3D,https://www.333d.com.au,34 Jimmy Place,61 2 8011 0424,"['Mr. John  Conidi BBus, CPA', ""Ms. Catherine  O'Connor""]"
6,EQS,https://www.equitystory.com.au,The Barracks Precinct,61 2 9907 9652,"['Mr. David John Tildesley B.A., B.Sc.', 'Mr. Mark  Goes', 'Ms. Elissa C. Hansen ACSA, B.Com., B.Comm, FCIS, Gad Dip ACG, GAI, GAIC']"
7,AJY,https://www.asaplusresources.com,"#08-55, Paya Lebar Square",65 6655 2730,"['Mr. Poi Bor  Ding', 'Mr. Xusheng  Hong', 'Mr. Jiancheng  Tu', 'Yimin  Zhu']"
8,APS,https://allupsilica.com,435 Roberts Road,61 (8) 6185 1744,"['Mr. Andrew John Haythorpe B.Sc., BSc. (Hons), MAICD', 'Mr. Mark Andrew Lester', 'Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)']"
9,CYQ,https://cycliq.com,513 Hay Street,,"['Mr. Xavier Jean Robert Kris', 'Mr. Timothy Ryan Slate', 'Mr. Craig  Smith-Gander BA (Military), M.Com.', 'Mr. Michael  Freiberg', 'Ms. Carla  Healy']"
10,SAN,https://www.feore.com,68 Yee Wo Street,852 3796 3601,"['Dr. Luwu  Yang', 'Mr. Baoliang  Zhang', 'Ms. Lu  Zheng', 'Mr. Wayne  Rossiter B.E., BE (Mining), C.A., CA, GMAICD, MAppFin, MAus']"
11,AVM,https://www.advancemetals.com.au,89 York Street,61 2 8964 4373,"['Mr. Wayne J. Kernaghan A.C.A., A.C.I.S., F.A.C.I.D.', 'Mr. Keith William Lawrence Middleton AIM, B.A.', 'Mr. Frank  Bennett', 'Mr. Dominic  Hill ADIP, BBUS', 'Mr. Dwight  Kinnes CPG', 'Mr. Robert  Sedgemore']"
