,Code,Website,Address,Phone,City,State,Zip,Country,Director1,Director2,Director3,Director4,Director5,Director6,Director7,Director8,Director9,Director10,Director11,Director12,Director13,Director14,Director15,Director16,Director17,Director18,Director19,Director20
0,TTA,https://www.teac.com.au,7 Dalton Road; Unit 59,61 3 9280 2333,Thomastown,VIC,3074,Australia,Mr. Ahamad  Bin Abdullah,Mr. Jozsef  Fekete,,,,,,,,,,,,,,,,,,
1,MSI,https://www.multistack.com.au,17 Friars Road,61 3 8586 8200,Moorabbin,VIC,3189,Australia,Mr. Kwok Yin Leung,Ms. Yan Y. Wong,Mr. Siu Wai Yan,Ms. Yim Ni Chan,Mr. C. L. Fan,,,,,,,,,,,,,,,
2,OAK,https://xped.com,89 Pirie St; Level 3 Suite 3,,Adelaide,SA,5000,Australia,Mr. Con  Unerkov,Mr. John  Schultz,Mr. Christopher  Wood,Ms. Julie  Edwards,Mr. Michael Raymond Clarke,,,,,,,,,,,,,,,
3,ROO,https://rootssat.com,Hamezach 1 Street,972 9 768 9995,Kfar Vitkin,,,Israel,"Mr. Boaz  Wachtel M.A., M.D., MBA",Dr. Sharon  Devir Ph.D.,Mr. Moshe  Hukaylo,Mr. Asaf ben Porat,Ms. Salma  Masrawa,Mr. Gili  Atiya,"Mr. Leonard Vun Chee Math B.Bus., B.Com., BComm, C.A.",Mr. Dave  Sharma,,,,,,,,,,,,
4,QUE,https://www.queste.com.au,680 Murray Street; Suite 1 Level 1,61 8 9214 9777,West Perth,WA,6005,Australia,"Mr. Farooq  Khan BJuris, L.L.B., LLB","Mr. Poh Hong Ho B.Com, B.Com., CTA, L.L.B., LLB",,,,,,,,,,,,,,,,,,
5,T3D,https://www.333d.com.au,34 Jimmy Place,61 2 8011 0424,Laverton North,VIC,3026,Australia,"Mr. John  Conidi BBus, CPA",Ms. Catherine  O'Connor,,,,,,,,,,,,,,,,,,
6,EQS,https://www.equitystory.com.au,The Barracks Precinct; 44 North Fort Road,61 2 9907 9652,Manly,NSW,2095,Australia,"Mr. David John Tildesley B.A., B.Sc.",Mr. Mark  Goes,"Ms. Elissa C. Hansen ACSA, B.Com., B.Comm, FCIS, Gad Dip ACG, GAI, GAIC",,,,,,,,,,,,,,,,,
7,AJY,https://www.asaplusresources.com,"#08-55, Paya Lebar Square; 60 Paya Lebar Road",65 6655 2730,Singapore,,409051,Singapore,Mr. Poi Bor  Ding,Mr. Xusheng  Hong,Mr. Jiancheng  Tu,Yimin  Zhu,,,,,,,,,,,,,,,,
8,APS,https://allupsilica.com,435 Roberts Road; Unit A8,61 (8) 6185 1744,Subiaco,WA,6008,Australia,"Mr. Andrew John Haythorpe B.Sc., BSc. (Hons), MAICD",Mr. Mark Andrew Lester,"Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)",,,,,,,,,,,,,,,,,
9,CYQ,https://cycliq.com,513 Hay Street; Unit 14,,Subiaco,WA,6008,Australia,Mr. Xavier Jean Robert Kris,Mr. Timothy Ryan Slate,"Mr. Craig  Smith-Gander BA (Military), M.Com.",Mr. Michael  Freiberg,Ms. Carla  Healy,,,,,,,,,,,,,,,
10,SAN,https://www.feore.com,68 Yee Wo Street; Level 13,852 3796 3601,Causeway Bay,,,Hong Kong,Dr. Luwu  Yang,Mr. Baoliang  Zhang,Ms. Lu  Zheng,"Mr. Wayne  Rossiter B.E., BE (Mining), C.A., CA, GMAICD, MAppFin, MAus",,,,,,,,,,,,,,,,
11,AVM,https://www.advancemetals.com.au,89 York Street; Suite 706 Level 7,61 2 8964 4373,Sydney,NSW,2000,Australia,"Mr. Wayne J. Kernaghan A.C.A., A.C.I.S., F.A.C.I.D.","Mr. Keith William Lawrence Middleton AIM, B.A.",Mr. Frank  Bennett,"Mr. Dominic  Hill ADIP, BBUS",Mr. Dwight  Kinnes CPG,Mr. Robert  Sedgemore,,,,,,,,,,,,,,
